id;domanda;risposta;immagine
1;Il segnale raffigurato consente la fermata, purché il veicolo non sia di intralcio;VERO;n107.png
2;Il segnale raffigurato è posto soltanto nelle strade urbane;FALSO;n107.png
3;Il segnale raffigurato presegnala un incrocio regolato con circolazione rotatoria;VERO;n113.png
4;Il segnale raffigurato è un segnale di divieto;FALSO;n113.png
5;Il segnale raffigurato presegnala un tratto di strada ove occorre procedere con particolare prudenza;VERO;n117.png
6;Il segnale raffigurato vieta la circolazione ai veicoli muniti di pneumatici con catene;FALSO;n117.png
7;Il segnale raffigurato è posto in corrispondenza di un itinerario riservato solo al transito di pedoni e ciclisti;VERO;n163.png
8;Il segnale raffigurato è posto in corrispondenza di una pista ciclabile a fianco del marciapiede;FALSO;n163.png
9;Il segnale raffigurato è posto in corrispondenza della fine di un percorso per gli animali da soma;VERO;n170.png
10;Il segnale raffigurato è posto in corrispondenza della fine di un percorso riservato solo ai cavalli da corsa;FALSO;n170.png
11;Il segnale raffigurato non obbliga ad arrestarsi al confine di Stato;VERO;n219.png
12;Il segnale raffigurato preavvisa un posto di blocco degli organi di polizia in vicinanza del confine di Stato;FALSO;n219.png
13;Il segnale raffigurato preavvisa un incrocio su strada extraurbana;VERO;n224.png
14;Il segnale raffigurato indica che non è possibile raggiungere S. Giovanni;FALSO;n224.png
15;Il segnale raffigurato, se posto sul bordo del marciapiede, indica la fermata di uno scuolabus;VERO;n187.png
16;Il segnale raffigurato vieta il transito ai bambini non accompagnati;FALSO;n187.png
17;Il segnale raffigurato è posto all'inizio di una strada senza uscita per i veicoli;VERO;n1.png
18;Il segnale raffigurato vale anche per i pedoni;FALSO;n1.png
19;Il segnale raffigurato indica l'inizio di una zona a traffico limitato;VERO;n4.png
20;Il segnale raffigurato indica l'inizio di un'area pedonale;FALSO;n4.png
21;Il segnale raffigurato preannuncia un tratto di strada deformata;VERO;n4.png
22;Il segnale raffigurato è un segnale di prescrizione;FALSO;n4.png
23;In presenza del segnale raffigurato, posto su strada a doppio senso di circolazione e con due sole corsie, si deve circolare il più possibile vicino al margine destro;VERO;n4.png
24;Il segnale raffigurato preannuncia un tratto di strada a due corsie e doppio senso di circolazione in cui è consentito sorpassare i motocicli, senza superare la striscia bianca continua;FALSO;n4.png
25;Lo spazio di frenatura è quello percorso dall’inizio della frenata all’arresto del veicolo;VERO;pag191.png
26;Lo spazio di frenatura si raddoppia se la velocità si raddoppia;FALSO;pag191.png
27;La distanza di sicurezza non dipende dal tipo di alimentazione del motore (benzina, gasolio, GPL);VERO;pag195.png
28;La distanza di sicurezza dipende dalla potenza del veicolo che precede;FALSO;pag195.png
29;Il segnale raffigurato indica l’inizio di una strada in cui i veicoli hanno diritto di precedenza;VERO;n52.png
30;Il segnale raffigurato obbliga ad arrestarsi all’incrocio;FALSO;n52.png
31;Il segnale raffigurato invita a maggiore prudenza perché non si ha più diritto di precedenza;VERO;n6.png
32;Il segnale raffigurato è un segnale di indicazione;FALSO;n6.png
33;In presenza del segnale raffigurato è obbligatorio mantenere una distanza di almeno 70 metri dal veicolo che precede;VERO;n57.png
34;Il segnale raffigurato obbliga i veicoli a marciare a meno di 70 metri di distanza l’uno dall’altro;FALSO;n57.png
35;Il segnale raffigurato vieta l’uso del clacson;VERO;n59.png
36;Il segnale raffigurato consente l’uso del clacson per richiamare l’attenzione in qualsiasi circostanza;FALSO;n59.png
37;Il segnale raffigurato preannuncia un attraversamento pedonale;VERO;pag23.png
38;Il segnale raffigurato preannuncia un luogo frequentato da bambini;FALSO;pag23.png
39;Il segnale raffigurato preannuncia un restringimento della carreggiata;VERO;pag27.png
40;Il segnale raffigurato è un segnale di prescrizione;FALSO;pag27.png
