x;y;nome
12;6;porto
12;18;pompieri
12;25;piscina
12;35;ospedale
25;6;palestra
25;12;tabaccheria
25;18;meccanico
25;25;campo calcio
25;35;teatro
30;25;panetteria
30;35;poste
35;12;pescheria
35;18;gelateria
35;25;supermarket
40;25;parrucchiere
40;35;polizia
50;12;Veterinario
50;18;McDonald
50;25;Stazione
50;28;Fioraio
50;35;museo
50;45;scuola
65;28;Formaggeria
65;45;Giardino
75;6;Metro
75;12;JD
75;18;Biblioteca
75;25;Municipio
75;28;farmacia
75;30;Caffé
75;45;Castello
90;6;Fabbrica
90;25;Cinema
90;30;Banca
