incrocio;porto;pompieri;piscina;ospedale;palestra;tabaccheria;meccanico;campo calcio;teatro;panetteria;poste;pescheria;gelateria;supermarket;parrucchiere;polizia;Veterinario;McDonald;Stazione;Fioraio;museo;scuola;Formaggeria;Giardino;Metro;JD;Biblioteca;Municipio;Clinica veterinaria;Caffé;Castello;Fabbrica;Cinema;Banca
porto;0;1;2;5;1;2;2;3;4;4;5;3;3;4;5;6;4;4;5;6;7;8;7;8;6;5;6;6;7;8;9;7;7;8
pompieri;1;0;1;4;2;2;1;2;3;3;4;3;2;3;4;5;4;3;4;5;6;7;6;7;6;5;6;5;6;7;8;7;6;7
piscina;2;1;0;3;3;3;2;1;2;2;3;4;3;3;4;4;5;4;5;6;5;6;7;7;7;6;7;6;7;8;8;8;7;8
ospedale;5;4;3;0;5;4;3;2;1;3;2;5;4;4;4;3;6;5;5;5;4;5;6;6;8;7;7;6;7;8;7;9;7;8
palestra;1;2;3;5;0;1;2;3;4;4;5;2;3;4;5;6;3;4;5;6;7;8;7;8;5;4;5;6;7;8;9;6;7;8
tabaccheria;2;2;3;4;1;0;1;2;3;3;4;1;2;3;4;5;2;3;4;5;6;7;6;7;4;3;4;5;6;7;8;5;6;7
meccanico;2;1;2;3;2;1;0;1;2;2;3;2;1;2;3;4;3;2;3;4;5;6;5;6;5;4;5;4;5;6;7;6;5;6
campo calcio;3;2;1;2;3;2;1;0;1;1;2;3;2;2;3;3;4;3;4;5;4;5;6;6;6;5;6;5;6;7;7;7;6;7
teatro;4;3;2;1;4;3;2;1;0;2;1;4;3;3;3;2;5;4;4;4;3;4;5;5;7;6;6;5;6;7;6;8;6;7
panetteria;4;3;2;3;4;3;2;1;2;0;1;3;2;1;2;2;4;3;3;4;3;4;5;5;6;5;5;4;5;6;6;7;5;6
poste;5;4;3;2;5;4;3;2;1;1;0;4;3;2;2;1;5;4;3;3;2;3;4;4;7;6;5;4;5;6;5;8;5;6
pescheria;3;3;4;5;2;1;2;3;4;3;4;0;1;2;3;4;1;2;3;4;5;6;5;6;3;2;3;4;5;6;7;4;5;6
gelateria;3;2;3;4;3;2;1;2;3;2;3;1;0;1;2;3;2;1;2;3;4;5;4;5;4;3;4;3;4;5;6;5;4;5
supermarket;4;3;3;4;4;3;2;2;3;1;2;2;1;0;1;2;3;2;2;3;3;4;4;5;5;4;4;3;4;5;6;6;4;5
parrucchiere;5;4;4;4;5;4;3;3;3;2;2;3;2;1;0;1;3;2;1;2;2;3;3;4;5;4;3;2;3;4;5;6;3;4
polizia;6;5;4;3;6;5;4;3;2;2;1;4;3;2;1;0;4;3;2;2;1;2;3;3;6;5;4;3;4;5;4;7;4;5
Veterinario;4;4;5;6;3;2;3;4;5;4;5;1;2;3;3;4;0;1;2;3;4;5;4;5;2;1;2;3;4;5;6;3;4;5
McDonald;4;3;4;5;4;3;2;3;4;3;4;2;1;2;2;3;1;0;1;2;3;4;3;4;3;2;3;2;3;4;5;4;3;4
Stazione;5;4;5;5;5;4;3;4;4;3;3;3;2;2;1;2;2;1;0;1;2;3;2;3;4;3;2;1;2;3;4;5;2;3
Fioraio;6;5;6;5;6;5;4;5;4;4;3;4;3;3;2;2;3;2;1;0;1;2;1;2;5;4;3;2;2;3;3;6;3;4
museo;7;6;5;4;7;6;5;4;3;3;2;5;4;3;2;1;4;3;2;1;0;1;2;2;6;5;4;3;3;4;3;7;4;5
scuola;8;7;6;5;8;7;6;5;4;4;3;6;5;4;3;2;5;4;3;2;1;0;2;1;7;6;5;4;3;3;2;8;5;4
Formaggeria;7;6;7;6;7;6;5;6;5;5;4;5;4;4;3;3;4;3;2;1;2;2;0;1;5;4;3;2;1;2;2;6;3;3
Giardino;8;7;7;6;8;7;6;6;5;5;4;6;5;5;4;3;5;4;3;2;2;1;1;0;6;5;4;3;2;2;1;7;4;3
Metro;6;6;7;8;5;4;5;6;7;6;7;3;4;5;5;6;2;3;4;5;6;7;5;6;0;1;2;3;4;5;6;1;4;5
JD;5;5;6;7;4;3;4;5;6;5;6;2;3;4;4;5;1;2;3;4;5;6;4;5;1;0;1;2;3;4;5;2;3;4
Biblioteca;6;6;7;7;5;4;5;6;6;5;5;3;4;4;3;4;2;3;2;3;4;5;3;4;2;1;0;1;2;3;4;3;2;3
Municipio;6;5;6;6;6;5;4;5;5;4;4;4;3;3;2;3;3;2;1;2;3;4;2;3;3;2;1;0;1;2;3;4;1;2
Clinica veterinaria;7;6;7;7;7;6;5;6;6;5;5;5;4;4;3;4;4;3;2;2;3;3;1;2;4;3;2;1;0;1;2;5;2;2
Caffé;8;7;8;8;8;7;6;7;7;6;6;6;5;5;4;5;5;4;3;3;4;3;2;2;5;4;3;2;1;0;1;6;2;1
Castello;9;8;8;7;9;8;7;7;6;6;5;7;6;6;5;4;6;5;4;3;3;2;2;1;6;5;4;3;2;1;0;7;3;2
Fabbrica;7;7;8;9;6;5;6;7;8;7;8;4;5;6;6;7;3;4;5;6;7;8;6;7;1;2;3;4;5;6;7;0;5;6
Cinema;7;6;7;7;7;6;5;6;6;5;5;5;4;4;3;4;4;3;2;3;4;5;3;4;4;3;2;1;2;2;3;5;0;1
Banca;8;7;8;8;8;7;6;7;7;6;6;6;5;5;4;5;5;4;3;4;5;4;3;3;5;4;3;2;2;1;2;6;1;0
