x;y
65;44
65;45
64;45
63;45
62;45
61;45
60;45
59;45
58;45
57;45
56;45
55;45
54;45
53;45
52;45
51;45
50;45
50;44
50;43
50;42
50;41
50;40
50;39
50;38
50;37
50;36
50;35
50;34
50;33
50;32
50;31
50;30
50;29
50;28
50;27
50;26
50;25
50;24
50;23
50;22
50;21
50;20
50;19
50;18
50;17
50;16
50;15
50;14
50;13
50;12
49;12
48;12
47;12
46;12
45;12
44;12
43;12
42;12
41;12
40;12
39;12
38;12
37;12
36;12
35;12
35;13
35;14
35;15
35;16
35;17
35;18
35;19
35;20
35;21
35;22
35;23
35;24
35;25
34;25
33;25
32;25
31;25
30;25
29;25
28;25
27;25
26;25
25;25
25;24
25;23
25;22
25;21
25;20
25;19
25;18
25;17
25;16
25;15
25;14
25;13
25;12
25;11
25;10
25;9
25;8
25;7
25;6
